NODE,mcc_mean,mcc_std,mcc_p10,mcc_p90,n
CLAP_OGROVE-APND,-4.1760640625,10.487566664280996,-11.240735,0.0,96
CLAP_OSO-APND,-4.783999791666667,11.446099055115672,-13.925080000000001,0.0,96
CLAP_PEARBL-APND,-5.422603958333333,11.372551583612323,-15.555674999999999,0.0,96
CLAP_PLUMAS-APND,8.750616041666666,15.390486083275876,0.0,26.161635,96
CLAP_PRIMM-APND,-4.391257708333334,9.841930108099675,-10.008379999999999,0.0,96
CLAP_SANCLA-APND,9.534208125,16.932723535525884,0.0,32.103030000000004,96
CLAP_SOTP-APND,0.0,0.0,0.0,0.0,96
CLAP_SRMSR1-APND,-4.846376041666667,10.498325161248943,-11.041889999999999,0.0,96
CLAP_TERMEX-APND,-4.846376041666667,10.49832516124894,-11.041889999999999,0.0,96
CLAP_TRNQLT-APND,-3.2799720833333335,19.010116926399615,-22.592005,10.812045000000001,96
CLAP_WALC-APND,0.0,0.0,0.0,0.0,96
CLAP_WISTRA-APND,-4.846376041666667,10.498325161248943,-11.041889999999999,0.0,96
CLAP_WWRSR1-APND,0.0,0.0,0.0,0.0,96
CLARK_7_UNITS 11-14-APND,0.0,0.0,0.0,0.0,96
CLARK_7_UNITS 15-18-APND,0.0,0.0,0.0,0.0,96
CLARK_7_UNITS 19-22-APND,0.0,0.0,0.0,0.0,96
CLARK_7_UNITS 5-6 10-APND,0.0,0.0,0.0,0.0,96
CLARK_7_UNITS 7-9-APND,0.0,0.0,0.0,0.0,96
CLEARWTR_1_GEN_TOTAL-APND,0.0,0.0,0.0,0.0,96
CLEARWTR_1_NCL-APND,0.0,0.0,0.0,0.0,96
CLINESCO_3_ELCABOWF-APND,0.0,0.0,0.0,0.0,96
CMC_7_ALIGNEDDC-APND,0.0,0.0,0.0,0.0,96
CMS3PP_5_SOLAR-APND,0.0,0.0,0.0,0.0,96
COLUSA_2_PL1X3-APND,7.817216458333333,18.1971997318109,-3.14471,21.52581,96
COLVIL_7_PL1X2-APND,8.233645416666667,16.55757926671249,0.0,23.397365,96
CORONS_6_CLRWTR-APND,-4.5636640625,10.155744390429598,-11.751505,0.0,96
